Lastupdated,Status_Timestamp,Zone_Number,KerbsideID,Location,area_type,weekday_peak_aud_per_hr,weekday_offpeak_aud_per_hr,weekend_aud_per_hr,rate_type,free_15_min_<=15min
2025-01-22T09:14:37+05:30,2024-05-03T08:25:43+05:30,,22774,"-37.8233950937474, 144.96674793778274",Outside City,4,2,2,hourly,FALSE
2025-01-22T09:14:37+05:30,2024-10-11T09:36:49+05:30,7539,66222,"-37.81164001991529, 144.96061716652716",Outside City,4,2,2,hourly,FALSE
2025-01-22T09:14:37+05:30,2024-10-02T04:52:55+05:30,7550,66010,"-37.8099402111704, 144.96635508204457",Outside City,4,2,2,hourly,FALSE
2025-01-22T09:14:37+05:30,2024-10-02T04:20:25+05:30,7550,66032,"-37.81036492957013, 144.96490200828873",Outside City,4,2,2,hourly,FALSE
2025-01-22T09:14:37+05:30,2024-10-02T04:18:56+05:30,7549,66063,"-37.81020592601129, 144.96563071540535",Outside City,4,2,2,hourly,FALSE
2025-01-22T09:14:37+05:30,2024-10-02T04:23:36+05:30,7549,66026,"-37.810245537194746, 144.9653118312001",Outside City,4,2,2,hourly,FALSE
2025-01-22T09:14:37+05:30,2024-10-02T04:03:54+05:30,7550,66074,"-37.81040728241008, 144.96494093126182",Outside City,4,2,2,hourly,FALSE
2025-01-22T09:14:37+05:30,2024-10-11T08:11:57+05:30,7539,66237,"-37.8119181725674, 144.9596677505574",Outside City,4,2,2,hourly,FALSE
2025-01-10T08:14:36+05:30,2024-08-21T09:43:39+05:30,7392,9376,"-37.80313000809029, 144.95828911989497",Outside City,4,2,2,hourly,FALSE
2024-12-30T06:14:37+05:30,2024-08-18T13:53:46+05:30,7394,9344,"-37.80494402936792, 144.95916129121264",Outside City,4,2,2,hourly,FALSE
2025-03-25T06:14:37+05:30,2025-03-25T02:00:24+05:30,7265,17958,"-37.81054491179475, 144.97294222605115",Outside City,4,2,2,hourly,FALSE
2025-03-26T09:14:37+05:30,2025-03-26T08:08:29+05:30,7297,18168,"-37.80795579700932, 144.9723020581336",Outside City,4,2,2,hourly,FALSE
2025-03-26T09:14:37+05:30,2025-03-26T01:39:11+05:30,7297,18166,"-37.80793895281839, 144.9721519501125",Outside City,4,2,2,hourly,FALSE
2025-01-10T08:14:36+05:30,2024-08-14T14:52:05+05:30,7392,9373,"-37.80329074425858, 144.95836336946644",Outside City,4,2,2,hourly,FALSE
2024-12-05T05:14:37+05:30,2024-11-28T08:45:03+05:30,7084,8728,"-37.802207077793355, 144.9609705575371",Outside City,4,2,2,hourly,FALSE
2024-12-05T05:14:37+05:30,2024-11-28T08:02:55+05:30,7084,8730,"-37.802223746396926, 144.96111707151726",Outside City,4,2,2,hourly,FALSE
2024-12-05T05:14:37+05:30,2024-11-27T22:55:40+05:30,7084,8745,"-37.80228396713595, 144.96167287954006",Outside City,4,2,2,hourly,FALSE
2024-12-05T05:14:37+05:30,2024-10-19T16:40:53+05:30,7084,8746,"-37.802294006064535, 144.9617628633649",Outside City,4,2,2,hourly,FALSE
2025-05-08T11:14:34+05:30,2025-04-13T12:00:29+05:30,7219,69942,"-37.82249515523104, 144.9521959601043",Outside City,4,2,2,hourly,FALSE
2025-05-08T11:14:34+05:30,2025-04-14T05:15:30+05:30,7219,69977,"-37.82252556959601, 144.95265277617113",Outside City,4,2,2,hourly,FALSE
2025-05-08T11:14:34+05:30,2025-04-14T08:48:28+05:30,7223,69961,"-37.822237339850616, 144.9536460664737",Outside City,4,2,2,hourly,FALSE
2025-05-08T11:14:34+05:30,2025-04-14T08:48:13+05:30,7219,69967,"-37.82234105011817, 144.953287549408",Outside City,4,2,2,hourly,FALSE
2025-05-08T11:14:34+05:30,2025-04-14T08:27:25+05:30,7643,57918,"-37.82023275888777, 144.95481596362043",Outside City,4,2,2,hourly,FALSE
2025-05-08T11:14:34+05:30,2025-04-14T08:00:15+05:30,7643,57917,"-37.820280977934516, 144.95483806102732",Outside City,4,2,2,hourly,FALSE
2025-03-25T06:14:37+05:30,2025-03-25T05:42:16+05:30,7266,18643,"-37.808781745038715, 144.97293054338238",Outside City,4,2,2,hourly,FALSE
2025-03-25T06:14:37+05:30,2025-03-23T11:28:10+05:30,7265,25020,"-37.809717904375894, 144.9730099177699",Outside City,4,2,2,hourly,FALSE
2025-03-25T06:14:37+05:30,2025-03-25T06:00:17+05:30,7265,17951,"-37.81002583036282, 144.97296632752665",Outside City,4,2,2,hourly,FALSE
2025-03-25T05:14:37+05:30,2025-03-12T04:47:58+05:30,,17698,"-37.820820169304454, 144.94077706396166",Outside City,4,2,2,hourly,FALSE
2025-05-22T06:14:34+05:30,2025-05-21T01:40:13+05:30,7214,20926,"-37.82107646203974, 144.946243382511",Outside City,4,2,2,hourly,FALSE
2024-12-05T05:14:37+05:30,2024-11-28T08:00:57+05:30,7084,8735,"-37.80223335664963, 144.96120480793184",Outside City,4,2,2,hourly,FALSE
2024-12-05T05:14:37+05:30,2024-11-28T04:53:40+05:30,7084,8749,"-37.80230361629087, 144.9618505999636",Outside City,4,2,2,hourly,FALSE
2025-06-23T11:14:34+05:30,2025-02-28T09:59:29+05:30,7923,10861,"-37.8061167292377, 144.95510711737495",Outside City,4,2,2,hourly,FALSE
2025-06-23T11:14:34+05:30,2023-08-23T15:57:45+05:30,7922,10877,"-37.80608612708157, 144.95499411601747",Outside City,4,2,2,hourly,FALSE
2025-06-25T11:14:34+05:30,2025-06-25T09:42:22+05:30,,61311,"-37.81800660511624, 144.96162588794874",Outside City,4,2,2,hourly,FALSE
2025-06-25T11:14:34+05:30,2025-06-25T10:42:45+05:30,7431,60958,"-37.8156566520518, 144.96982565810208",Outside City,4,2,2,hourly,FALSE
2025-06-25T11:14:34+05:30,2025-06-25T10:39:30+05:30,7458,61326,"-37.818161615805494, 144.96125547268196",Outside City,4,2,2,hourly,FALSE
2025-06-26T08:14:34+05:30,2025-06-16T08:32:39+05:30,7610,54535,"-37.812320463144786, 144.9594764871128",Outside City,4,2,2,hourly,FALSE
2025-06-26T08:14:34+05:30,2025-06-16T09:17:22+05:30,7610,54539,"-37.81220269747047, 144.95942279143043",Outside City,4,2,2,hourly,FALSE
2025-07-07T07:14:34+05:30,2025-07-01T07:44:04+05:30,7930,9735,"-37.8104952625608, 144.94931263579855",Outside City,4,2,2,hourly,FALSE
2025-07-07T07:14:34+05:30,2023-06-08T02:02:23+05:30,7924,11114,"-37.80583792860436, 144.95214406985554",Outside City,4,2,2,hourly,FALSE
2025-06-23T11:14:34+05:30,2025-02-07T04:12:19+05:30,7923,10830,"-37.80709106905422, 144.95493314703407",Outside City,4,2,2,hourly,FALSE
2025-06-23T11:14:34+05:30,2025-06-01T08:10:33+05:30,7923,10846,"-37.80661752132907, 144.95501761173506",Outside City,4,2,2,hourly,FALSE
2025-06-23T11:14:34+05:30,2025-02-28T09:24:26+05:30,7923,10854,"-37.8063942128055, 144.9550575283506",Outside City,4,2,2,hourly,FALSE
2025-07-07T07:14:34+05:30,2023-06-07T06:36:40+05:30,7924,11115,"-37.8058611196018, 144.952139906509",Outside City,4,2,2,hourly,FALSE
2025-07-07T07:14:34+05:30,2025-07-01T07:44:03+05:30,7930,9727,"-37.81068435233683, 144.94881538112529",Outside City,4,2,2,hourly,FALSE
2025-07-07T07:14:34+05:30,2023-06-07T06:11:04+05:30,7924,11121,"-37.806027023506715, 144.95211012372965",Outside City,4,2,2,hourly,FALSE
2025-07-07T07:14:34+05:30,2023-06-08T03:26:09+05:30,7924,11122,"-37.80605009231655, 144.952105960915",Outside City,4,2,2,hourly,FALSE
2025-06-04T05:14:34+05:30,2025-06-03T17:58:13+05:30,7993,11246,"-37.80720039499499, 144.95445233270416",Outside City,4,2,2,hourly,FALSE
2025-01-22T09:14:37+05:30,2024-10-11T11:15:20+05:30,,66035,"-37.810422676785635, 144.96470249302843",Outside City,4,2,2,hourly,FALSE
2025-01-22T09:14:37+05:30,2024-10-11T10:27:59+05:30,7549,66066,"-37.8102629212641, 144.9654357091361",Outside City,4,2,2,hourly,FALSE
2025-01-22T09:14:37+05:30,2024-10-04T03:39:14+05:30,7549,66064,"-37.81022373324706, 144.96556979001764",Outside City,4,2,2,hourly,FALSE
2025-01-22T09:14:37+05:30,2024-10-02T04:19:02+05:30,7549,66065,"-37.81024273165785, 144.96550478754781",Outside City,4,2,2,hourly,FALSE
2025-01-09T11:14:36+05:30,2023-08-21T05:39:03+05:30,7800,24505,"-37.79756250415984, 144.95759881813447",Outside City,4,2,2,hourly,FALSE
2024-12-05T05:14:37+05:30,2024-11-28T07:30:16+05:30,7084,8729,"-37.80220387416213, 144.9609413122746",Outside City,4,2,2,hourly,FALSE
2025-01-21T09:12:37+05:30,2025-01-20T11:27:00+05:30,7053,10280,"-37.79502666258857, 144.97240204442983",Outside City,4,2,2,hourly,FALSE
2025-03-25T06:14:37+05:30,2025-03-25T05:39:20+05:30,7303,51614,"-37.81620493158199, 144.96978894261684",Outside City,4,2,2,hourly,FALSE
2025-03-25T06:14:37+05:30,2025-03-25T05:26:53+05:30,7265,17954,"-37.81019990197624, 144.97294577505386",Outside City,4,2,2,hourly,FALSE
2025-03-25T06:14:37+05:30,2025-03-25T05:36:47+05:30,7529,62710,"-37.813134438674666, 144.97067212855254",Outside City,4,2,2,hourly,FALSE
2025-03-25T06:14:37+05:30,2025-03-25T04:46:22+05:30,7303,51613,"-37.816253179061405, 144.96981112082523",Outside City,4,2,2,hourly,FALSE
2025-03-26T09:14:37+05:30,2025-03-12T12:12:04+05:30,7297,18076,"-37.80799792682947, 144.97267761034158",Outside City,4,2,2,hourly,FALSE
2025-03-25T06:14:37+05:30,2025-03-25T06:10:57+05:30,7265,17956,"-37.810319828935384, 144.97293976160455",Outside City,4,2,2,hourly,FALSE
2025-06-04T05:14:34+05:30,2025-06-04T01:49:37+05:30,7986,11137,"-37.80808044903779, 144.9546070339519",Outside City,4,2,2,hourly,FALSE
2025-06-04T05:14:34+05:30,2023-04-19T17:44:14+05:30,7993,11249,"-37.80737098495872, 144.9545303646516",Outside City,4,2,2,hourly,FALSE
2025-01-21T09:12:37+05:30,2025-01-21T07:07:41+05:30,7053,10286,"-37.79493418293051, 144.97155131195115",Outside City,4,2,2,hourly,FALSE
2025-01-21T09:12:37+05:30,2025-01-20T15:55:07+05:30,7049,10288,"-37.79508290762313, 144.9712217164565",Outside City,4,2,2,hourly,FALSE
2025-01-21T09:12:37+05:30,2025-01-20T10:05:08+05:30,7049,24423,"-37.79522276647609, 144.97252655504798",Outside City,4,2,2,hourly,FALSE
2024-12-05T05:14:37+05:30,2024-11-28T08:33:02+05:30,7084,8731,"-37.80221348499492, 144.96102904863818",Outside City,4,2,2,hourly,FALSE
2024-12-05T05:14:37+05:30,2024-11-28T08:23:41+05:30,7084,8736,"-37.802242080448615, 144.96129218606376",Outside City,4,2,2,hourly,FALSE
2024-12-05T05:14:37+05:30,2024-11-28T08:27:26+05:30,7084,8737,"-37.802245282357404, 144.9613214313597",Outside City,4,2,2,hourly,FALSE
2024-12-05T05:14:37+05:30,2024-11-27T15:39:44+05:30,7084,8739,"-37.80225856919544, 144.9614389418973",Outside City,4,2,2,hourly,FALSE
2024-12-05T05:14:37+05:30,2024-11-27T14:10:20+05:30,7084,8740,"-37.80226177268457, 144.96146818720734",Outside City,4,2,2,hourly,FALSE
2024-12-05T05:14:37+05:30,2024-10-19T19:01:48+05:30,7084,8751,"-37.80228717056752, 144.96170212543996",Outside City,4,2,2,hourly,FALSE
2024-12-05T05:14:37+05:30,2024-11-28T06:45:59+05:30,7084,8743,"-37.802277599315886, 144.96161438831626",Outside City,4,2,2,hourly,FALSE
2024-12-05T05:14:37+05:30,2024-11-28T08:44:47+05:30,7084,8750,"-37.802271382658404, 144.96155592654753",Outside City,4,2,2,hourly,FALSE
