Lastupdated,Status_Timestamp,Zone_Number,Status_Description,KerbsideID,Location
2025-03-25T06:14:37+05:30,2025-03-25T05:39:20+05:30,7303,Unoccupied,51614,"-37.81620493158199, 144.96978894261684"
2025-03-25T06:14:37+05:30,2025-03-25T05:26:53+05:30,7265,Present,17954,"-37.81019990197624, 144.97294577505386"
2025-03-25T06:14:37+05:30,2025-03-25T05:36:47+05:30,7529,Unoccupied,62710,"-37.813134438674666, 144.97067212855254"
2025-03-25T06:14:37+05:30,2025-03-25T04:46:22+05:30,7303,Present,51613,"-37.816253179061405, 144.96981112082523"
2025-01-15T04:14:37+05:30,2025-01-15T03:51:10+05:30,,Present,61835,"-37.81424148169654, 144.97109066970916"
2025-03-26T09:14:37+05:30,2025-03-12T12:12:04+05:30,7297,Unoccupied,18076,"-37.80799792682947, 144.97267761034158"
2025-03-25T06:14:37+05:30,2025-03-25T06:10:57+05:30,7265,Present,17956,"-37.810319828935384, 144.97293976160455"
2025-05-08T11:14:34+05:30,2025-04-14T06:02:21+05:30,,Present,69979,"-37.82256066811671, 144.95253120774296"
2025-01-21T09:12:37+05:30,2025-01-21T07:07:41+05:30,7053,Unoccupied,10286,"-37.79493418293051, 144.97155131195115"
2025-01-21T09:12:37+05:30,2025-01-20T15:55:07+05:30,7049,Present,10288,"-37.79508290762313, 144.9712217164565"
2025-01-21T09:12:37+05:30,2025-01-20T10:05:08+05:30,7049,Present,24423,"-37.79522276647609, 144.97252655504798"
2024-12-30T06:14:37+05:30,2024-08-17T09:53:15+05:30,7394,Unoccupied,9340,"-37.804743069707, 144.9590686672812"
2024-12-30T06:14:37+05:30,2024-08-21T06:08:04+05:30,7520,Unoccupied,9354,"-37.804888632324605, 144.95861698154164"
2025-05-16T08:14:34+05:30,2025-03-25T10:21:04+05:30,,Unoccupied,61147,"-37.81700892305928, 144.96522141737893"
2025-02-13T11:14:36+05:30,2025-01-29T06:15:01+05:30,,Present,56622,"-37.819874287371505, 144.95720707765776"
2025-05-22T06:14:34+05:30,2025-05-22T05:51:15+05:30,7586,Present,21741,"-37.84797495698779, 144.98226205564055"
2024-12-30T06:14:37+05:30,2024-08-21T06:04:50+05:30,7394,Present,9338,"-37.80457312730523, 144.95899052123454"
2024-12-30T06:14:37+05:30,2024-08-21T06:04:08+05:30,7394,Unoccupied,9341,"-37.804791726138646, 144.95909104692146"
2024-12-30T06:14:37+05:30,2024-08-21T06:07:20+05:30,7520,Unoccupied,9358,"-37.805089616110834, 144.95870953227987"
2024-12-30T06:14:37+05:30,2023-09-13T03:07:24+05:30,7520,Unoccupied,9357,"-37.805040957078404, 144.95868712534042"
2025-01-10T08:14:36+05:30,2024-08-18T08:31:19+05:30,7392,Unoccupied,9372,"-37.8033414895023, 144.95838681632023"
2025-01-21T09:12:37+05:30,2025-01-21T07:49:06+05:30,7053,Present,10282,"-37.794993762404346, 144.97209994853773"
2025-01-22T09:14:37+05:30,2024-10-02T04:28:33+05:30,7549,Present,66022,"-37.8101677069083, 144.96557568924243"
2025-01-22T09:14:37+05:30,2024-10-02T05:06:17+05:30,7549,Present,66024,"-37.81020639361004, 144.96544349972828"
2025-01-22T09:14:37+05:30,2024-10-11T11:13:59+05:30,7550,Unoccupied,66034,"-37.81040230075237, 144.96477289718422"
2025-01-22T09:14:37+05:30,2024-10-02T04:24:24+05:30,7549,Present,66067,"-37.81028218639029, 144.96537084871932"
